MRGID,GEONAME,TERRITORY1,ISO_TER1,SOVEREIGN1,TERRITORY2,ISO_TER2,SOVEREIGN2,MRGID_TER3,MRGID_SOV3,TERRITORY3,ISO_TER3,SOVEREIGN3,SIS_name0,SIS_name1,To_split
8483,Malaysian Exclusive Economic Zone,Malaysia,MYS,Malaysia,NA,NA,NA,0,0,NA,NA,NA,Malaysia,,
8345,Maldives Exclusive Economic Zone,Maldives,MDV,Maldives,NA,NA,NA,0,0,NA,NA,NA,Maldives,,
5685,Maltese Exclusive Economic Zone,Malta,MLT,Malta,NA,NA,NA,0,0,NA,NA,NA,Malta,,
8318,Marshall Islands Exclusive Economic Zone,Marshall Islands,MHL,Marshall Islands,NA,NA,NA,0,0,NA,NA,NA,Marshall Islands,,
33178,Martinican Exclusive Economic Zone,Martinique,MTQ,France,NA,NA,NA,0,0,NA,NA,NA,Martinique,,
8369,Mauritanian Exclusive Economic Zone,Mauritania,MRT,Mauritania,NA,NA,NA,0,0,NA,NA,NA,Mauritania,,
8343,Mauritian Exclusive Economic Zone,Republic of Mauritius,MUS,Republic of Mauritius,NA,NA,NA,0,0,NA,NA,NA,Mauritius,,
48944,Overlapping claim Mayotte: France / Comoros,Mayotte,MYT,France,Mayotte,MYT,Comores,0,0,NA,NA,NA,Mayotte,,
8429,Mexican Exclusive Economic Zone,Mexico,MEX,Mexico,NA,NA,NA,0,0,NA,NA,NA,Mexico,,
8316,Micronesian Exclusive Economic Zone,Micronesia,FSM,Micronesia,NA,NA,NA,0,0,NA,NA,NA,"Micronesia, Federated States of",,
21790,Monégasque Exclusive Economic Zone,Monaco,MCO,Monaco,NA,NA,NA,0,0,NA,NA,NA,Monaco,,
5691,Montenegrin Exclusive economic Zone,Montenegro,MNE,Montenegro,NA,NA,NA,0,0,NA,NA,NA,Montenegro,,
8415,Montserrat Exclusive Economic Zone,Montserrat,MSR,United Kingdom,NA,NA,NA,0,0,NA,NA,NA,Montserrat,,
